HB10100606,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-4043,220.128.0.19,10000,100,100
HB10100691,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4043,220.128.0.19,10000,100,100
HB10100690,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4043,220.128.0.19,10000,100,100
HB10100607,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-4043,220.128.0.19,10000,100,100
HB20300255,CHCH-ROUTER-3011,220.128.0.179,CHCH-ROUTER-3611,203.75.212.136,10000,100,100
HB20300256,CHCH-ROUTER-3012,220.128.0.180,CHCH-ROUTER-3611,203.75.212.136,10000,100,100
HB31200095,TNE1-ROUTER-3012,220.128.0.232,TNE1-ROUTER-3611,203.75.189.44,10000,1000,1000
HB31200094,TNE1-ROUTER-3011,220.128.0.231,TNE1-ROUTER-3611,203.75.189.44,10000,1000,1000
HB10200519,TYFO-ROUTER-3015,220.128.0.45,TYFO-ROUTER-3611,220.128.0.112,10000,100,100
HB10200520,TYFO-ROUTER-3016,220.128.0.46,TYFO-ROUTER-3611,220.128.0.112,10000,100,100
72D-97629,SKC1-ROUTER-3022,220.128.0.212,FSE1-ROUTER-3302,220.128.33.232,10000,150,150
HB31000013,FSE1-ROUTER-3301,220.128.33.231,FSE1-ROUTER-3302,220.128.33.232,10000,100,100
6E-90387,TNE1-ROUTER-3012,220.128.0.232,FSE1-ROUTER-3302,220.128.33.232,10000,160,160
72D-97021,SKC1-ROUTER-3022,220.128.0.212,FSE1-ROUTER-3302,220.128.33.232,10000,150,150
295D-96331,PCPD-ROUTER-3211,220.128.0.63,PCPC-ROUTER-3301,220.128.33.67,10000,320,160
HB10900260,PCPC-ROUTER-3201,220.128.0.67,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
HB10900142,PCPC-ROUTER-3201,220.128.0.67,PCPC-ROUTER-3301,220.128.33.67,10000,100,20
