220.128.33.17,TPDB-ROUTER-3311,TPDB
220.128.33.173,NTNK-ROUTER-3301,NTNK
220.128.33.174,NTNK-ROUTER-3302,NTNK
220.128.33.179,CHCH-ROUTER-3301,CHCH
220.128.33.18,TPDB-ROUTER-3312,TPDB
220.128.33.180,CHCH-ROUTER-3302,CHCH
220.128.33.187,ULUL-ROUTER-3301,ULUL
220.128.33.188,ULUL-ROUTER-3302,ULUL
220.128.33.19,TPDB-ROUTER-3315,TPDB
220.128.33.20,TPDB-ROUTER-3316,TPDB
220.128.33.201,SKC1-ROUTER-3311,SKC1
220.128.33.202,SKC1-ROUTER-3312,SKC1
220.128.33.203,SKC1-ROUTER-3315,SKC1
220.128.33.204,SKC1-ROUTER-3316,SKC1
220.128.33.21,TPDB-ROUTER-3317,TPDB
220.128.33.211,NKN1-ROUTER-3311,NKN1
220.128.33.212,NKN1-ROUTER-3312,NKN1
220.128.33.215,CAW1-ROUTER-3311,CAW1
220.128.33.216,CAW1-ROUTER-3312,CAW1
220.128.33.219,TNCD-ROUTER-3311,TNCD
220.128.33.22,TPDB-ROUTER-3318,TPDB
220.128.33.220,TNCD-ROUTER-3312,TNCD
220.128.33.225,TNE1-ROUTER-3301,TNE1
220.128.33.226,TNE1-ROUTER-3302,TNE1
220.128.33.231,FSE1-ROUTER-3301,FSE1
220.128.33.232,FSE1-ROUTER-3302,FSE1
220.128.33.239,PTHS-ROUTER-3311,PTHS
220.128.33.240,PTHS-ROUTER-3312,PTHS
220.128.33.29,SNUH-ROUTER-3301,SNUH
220.128.33.30,SNUH-ROUTER-3302,SNUH
220.128.33.33,SIPR-ROUTER-3301,SIPR
220.128.33.34,SIPR-ROUTER-3302,SIPR
220.128.33.43,CLPY-ROUTER-3301,CLPY
220.128.33.44,CLPY-ROUTER-3302,CLPY
220.128.33.53,TYFO-ROUTER-3305,TYFO
220.128.33.54,TYFO-ROUTER-3306,TYFO
220.128.33.67,PCPC-ROUTER-3301,PCPC
220.128.33.68,PCPC-ROUTER-3302,PCPC
220.128.33.69,TPE4-ROUTER-3301,TPE4
220.128.33.70,TPE4-ROUTER-3302,TPE4
220.128.33.77,TPN2-ROUTER-3301,TPN2
220.128.33.78,TPN2-ROUTER-3302,TPN2
220.128.33.83,SCZS-ROUTER-3311,SCZS
220.128.33.84,SCZS-ROUTER-3312,SCZS
220.128.33.99,SHMZ-ROUTER-3301,SHMZ
